25.1,59
25.1,59
25.1,59
25.1,59
25.2,59
25.2,59
25.3,60
25.3,60
25.4,60
25.4,60
25.4,60
25.4,60
25.5,60
25.5,60
25.5,59
25.5,59
25.5,59
25.5,59
25.5,58
25.5,58
25.5,58
25.5,58
25.5,57
25.5,57
25.6,56
25.6,56
25.6,56
25.6,56
25.6,56
25.6,56
25.6,55
25.6,55
25.6,55
25.6,55
25.5,54
25.5,54
25.5,54
25.5,54
25.5,54
25.5,54
25.5,54
25.5,54
25.5,53
25.5,53
25.5,53
25.5,53
25.5,53
25.5,53
25.5,53
25.5,53
25.5,53
25.5,53
25.4,53
25.4,53
25.4,53
25.4,53
25.4,53
25.4,53
25.4,53
25.4,53
25.4,53
25.4,53
25.4,53
25.4,53
25.4,53
25.4,53
25.4,53
25.4,53
25.3,53
25.3,53
25.3,53
25.3,53
25.3,53
25.3,53
25.3,53
25.3,53
25.3,53
25.3,53
25.3,53
25.3,53
25.3,53
25.3,53
25.3,53
25.3,53
25.2,53
25.2,53
25.2,53
25.2,53
25.2,52
25.2,52
25.2,52
25.2,52
25.2,52
25.2,52
25.2,52
25.2,52
25.2,52
25.2,52
25.2,52
25.2,52
